user_id,hour_of_day,month_id,watch_date,day_of_week,day_name,day_classification,month_name,Tv_Channel,watch_time,duration,UserID,Region,age,age_groups,email_flag,social_media_flag,Race,gender
810226,7,201601,2016-01-11,11,Mon,weekday,Jan,Cartoon Network,07:23:00,00:01:03,810226,North West,24,Youth,1,1,black,male
810226,11,201602,2016-02-09,40,Tue,weekday,Feb,Boomerang,11:44:00,00:00:34,810226,North West,24,Youth,1,1,black,male
773012,18,201602,2016-02-05,36,Fri,weekday,Feb,Supersport Live Events,18:41:00,00:07:22,773012,Gauteng,45,Adult,1,1,black,male
918892,19,201603,2016-03-29,89,Tue,weekday,Mar,CNN,19:32:00,00:01:01,918892,Gauteng,27,Youth,1,1,indian_asian,male
893747,10,201603,2016-03-11,71,Fri,weekday,Mar,Supersport Live Events,10:32:00,00:00:12,893747,Kwazulu Natal,38,Adult,1,1,white,male
765684,12,201601,2016-01-19,19,Tue,weekday,Jan,Channel O,12:11:00,00:02:48,765684,Gauteng,25,Youth,1,1,coloured,male
765684,7,201601,2016-01-20,20,Wed,weekday,Jan,Supersport Live Events,07:14:00,00:06:36,765684,Gauteng,25,Youth,1,1,coloured,male
765684,15,201601,2016-01-18,18,Mon,weekday,Jan,Trace TV,15:17:00,00:04:42,765684,Gauteng,25,Youth,1,1,coloured,male
765684,18,201601,2016-01-21,21,Thu,weekday,Jan,CNN,18:43:00,00:00:27,765684,Gauteng,25,Youth,1,1,coloured,male
765684,14,201601,2016-01-25,25,Mon,weekday,Jan,Vuzu,14:50:00,00:00:39,765684,Gauteng,25,Youth,1,1,coloured,male
765684,11,201601,2016-01-23,23,Sat,weekend,Jan,SuperSport Blitz,11:52:00,00:11:38,765684,Gauteng,25,Youth,1,1,coloured,male
765684,19,201601,2016-01-29,29,Fri,weekday,Jan,Supersport Live Events,19:39:00,00:00:18,765684,Gauteng,25,Youth,1,1,coloured,male
765684,5,201601,2016-01-21,21,Thu,weekday,Jan,Supersport Live Events,05:39:00,00:09:52,765684,Gauteng,25,Youth,1,1,coloured,male
765684,14,201601,2016-01-23,23,Sat,weekend,Jan,SuperSport Blitz,14:12:00,00:03:12,765684,Gauteng,25,Youth,1,1,coloured,male
810231,17,201602,2016-02-22,53,Mon,weekday,Feb,SuperSport Blitz,17:49:00,00:03:08,810231,Gauteng,47,Adult,1,1,black,male
941061,5,201603,2016-03-25,85,Fri,weekday,Mar,SawSee,05:40:00,00:07:17,941061,North West,45,Adult,1,1,None,male
821893,18,201602,2016-02-26,57,Fri,weekday,Feb,Supersport Live Events,18:15:00,00:00:22,821893,Gauteng,33,Youth,1,1,white,male
821893,9,201602,2016-02-25,56,Thu,weekday,Feb,Supersport Live Events,09:17:00,00:13:42,821893,Gauteng,33,Youth,1,1,white,male
821893,16,201602,2016-02-25,56,Thu,weekday,Feb,Supersport Live Events,16:52:00,00:00:32,821893,Gauteng,33,Youth,1,1,white,male
